,power(kW),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,month,weekday,day,tire_type_All-year tires,tire_type_Summer tires,tire_type_Winter tires,driving_style_Fast,driving_style_Moderate,driving_style_Normal,trip_distance(km)
180,35.0,6.5,1.0,1.0,1.0,17.559999999999985,0.0,1.0,11.0,1.0,18.0,0,0,1,0,0,1,43.0
181,88.0,1.7,0.0,0.0,0.0,15.809999999999985,0.0,0.0,12.0,2.0,26.0,1,0,0,0,0,1,10.3
182,60.0,14.03,1.0,0.0,0.0,18.609999999999985,1.0,0.0,5.0,5.0,21.0,0,0,1,0,0,1,70.0
183,35.0,6.5,1.0,1.0,1.0,18.099999999999987,0.0,1.0,5.0,0.0,6.0,0,1,0,0,0,1,42.0
184,49.0,10.55,1.0,1.0,1.0,13.619999999999987,0.0,0.0,8.0,6.0,10.0,0,1,0,0,0,1,89.7
185,85.0,0.3,1.0,0.0,0.0,13.379999999999985,0.0,0.0,4.0,3.0,25.0,0,0,1,0,1,0,2.0
186,150.0,27.99,1.0,1.0,0.0,16.719999999999988,0.0,0.0,6.0,3.0,17.0,0,1,0,1,0,0,108.0
187,35.0,6.6,1.0,1.0,1.0,16.239999999999988,0.0,0.0,4.0,1.0,16.0,0,1,0,0,0,1,47.0
188,85.0,5.51,1.0,0.0,1.0,14.269999999999987,0.0,0.0,4.0,0.0,11.0,0,0,1,0,0,1,38.0
189,111.0,5.7,1.0,0.0,1.0,19.639999999999986,0.0,1.0,12.0,6.0,27.0,0,0,1,0,0,1,23.0
190,111.0,7.2,1.0,1.0,1.0,20.759999999999987,0.0,1.0,11.0,2.0,22.0,0,1,0,0,0,1,43.0
191,88.0,8.9,0.0,1.0,1.0,14.619999999999987,1.0,1.0,4.0,0.0,11.0,0,1,0,0,1,0,57.0
192,132.0,12.3,1.0,0.0,0.0,32.98999999999999,0.0,1.0,11.0,1.0,30.0,1,0,0,0,0,1,23.0
193,315.0,51.1,1.0,1.0,0.0,39.179999999999986,0.0,0.0,9.0,0.0,24.0,0,1,0,0,1,0,151.0
194,85.0,3.88,1.0,0.0,1.0,17.539999999999985,0.0,1.0,12.0,1.0,15.0,0,0,1,0,0,1,38.0
195,60.0,18.0,1.0,1.0,1.0,13.039999999999985,1.0,0.0,2.0,5.0,1.0,0,0,1,0,0,1,82.0
196,49.0,6.48,1.0,0.0,1.0,14.604999999999986,0.0,0.0,3.0,4.0,11.0,0,0,1,0,0,1,48.6
197,111.0,10.1,1.0,0.0,1.0,13.879999999999985,0.0,0.0,6.0,0.0,8.0,0,1,0,0,0,1,70.0
198,88.0,12.0,0.0,1.0,1.0,14.339999999999986,1.0,0.0,4.0,4.0,30.0,0,1,0,0,1,0,121.0
199,35.0,6.4,1.0,1.0,1.0,14.744999999999987,0.0,1.0,3.0,2.0,10.0,0,0,1,0,0,1,42.0
200,315.0,56.0,1.0,1.0,0.0,19.019999999999985,0.0,0.0,9.0,6.0,19.0,0,1,0,0,1,0,189.0
201,35.0,5.6,1.0,1.0,1.0,18.064999999999984,1.0,0.0,7.0,3.0,26.0,0,1,0,0,0,1,42.0
