manufacturer,power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,trip_distance(km),month,weekday,day
Volkswagen,85,14.71,3,0,1,0,2,13.0,0,0,77.0,-3.8,72.0,9,1,11
Volkswagen,85,10.42,3,1,1,0,3,14.5,0,0,54.0,-2.3,97.0,7,2,11
Volkswagen,85,5.16,2,1,1,1,2,12.0,0,0,47.0,-4.8,43.0,2,0,8
Volkswagen,85,3.7,3,1,1,1,2,18.6,0,0,48.0,1.8,20.0,10,1,24
Volkswagen,85,2.23,2,1,1,1,3,9.7,0,0,53.0,-7.1,23.0,12,3,8
Volkswagen,85,3.3,3,1,1,1,2,16.5,0,0,54.0,-0.3,20.0,6,4,9
Volkswagen,85,10.04,2,0,1,0,2,16.0,0,1,82.0,-0.8,46.0,3,3,15
Volkswagen,85,3.38,3,1,1,1,3,16.9,0,0,48.0,0.1,20.0,9,1,20
Volkswagen,85,12.61,2,0,1,0,1,16.8,0,1,68.0,0.0,87.0,1,4,26
Volkswagen,85,5.9,2,1,1,0,3,14.4,0,0,49.0,-2.4,41.0,12,5,26
Volkswagen,85,3.8,3,1,0,1,2,11.8,0,0,43.0,-5.0,32.0,8,1,15
Volkswagen,85,3.88,2,1,0,1,3,10.2,0,1,35.0,-6.6,38.0,12,1,15
Volkswagen,85,3.8,2,1,1,1,3,19.0,0,0,47.0,2.2,20.0,11,3,10
Volkswagen,85,2.64,3,0,0,1,2,13.6,0,0,31.0,-3.2,18.0,9,4,1
Volkswagen,85,0.4,3,1,0,0,2,10.9,0,0,25.0,-5.9,4.0,7,1,24
Volkswagen,85,6.93,2,0,0,1,3,16.5,0,0,39.0,-0.3,42.0,12,0,10
Volkswagen,85,13.7,3,1,0,1,3,17.8,0,0,40.0,1.0,77.0,10,4,7
Volkswagen,85,2.1,3,1,0,1,2,8.9,0,0,33.0,-7.9,24.0,9,3,13
Volkswagen,85,1.9,2,1,1,1,2,9.5,0,0,49.0,-7.3,20.0,1,2,20
Volkswagen,85,0.38,3,1,0,0,3,19.2,0,0,23.0,2.4,2.0,10,6,18
Volkswagen,85,3.7,3,1,1,1,2,18.6,0,0,41.0,1.8,20.0,9,4,1
