,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
9326,49.0,11.4,110229.0,3.0,1,0,1,1.0,11.78,0,0,-1.7200000000000006,96.8,5,1,31
23323,278.0,16.0,137126.0,2.0,0,0,1,1.0,22.16,0,0,6.059999999999999,117.0,10,5,16
10696,49.0,11.36,49219.0,3.0,1,0,1,1.0,11.86,0,0,-1.6400000000000006,95.8,9,3,19
20414,35.0,9.3,165582.0,3.0,1,0,1,1.0,13.29,1,0,0.7899999999999991,70.0,9,2,9
1702,278.0,22.0,52182.0,2.0,1,1,1,1.0,28.44,0,0,12.34,190.0,2,5,24
19611,35.0,7.2,66162.0,2.0,1,1,1,1.0,14.69,0,0,2.1899999999999995,49.0,3,2,23
1632,278.0,15.0,139895.0,2.0,0,1,1,1.0,26.61,0,0,10.509999999999998,46.0,11,1,30
10914,49.0,15.7,5507.0,3.0,1,0,1,2.0,10.89,0,0,-2.6099999999999994,144.2,8,3,25
18437,35.0,8.2,154184.0,2.0,1,1,1,1.0,19.07,0,1,6.57,43.0,1,2,29
17119,88.0,14.14,51388.0,3.0,1,1,1,2.0,13.95,0,0,2.3533633947983073,101.4,11,0,2
21210,132.0,6.0,35647.0,3.0,1,1,1,2.0,20.96,0,1,4.359999999999999,49.0,3,3,8
6907,85.0,2.01,45416.0,2.0,0,1,0,2.0,13.0,0,1,0.3000000000000007,41.0,3,3,8
22882,278.0,56.0,12280.0,3.0,0,1,1,1.0,22.22,0,0,6.119999999999997,252.0,7,6,31
20021,35.0,4.6,46885.0,3.0,1,1,1,1.0,11.22,0,0,-1.2799999999999994,41.0,6,3,18
14052,49.0,6.41,4618.0,3.0,0,0,1,1.0,12.42,0,0,-0.08,16.4,10,0,7
21135,132.0,8.4,36375.0,3.0,1,1,0,2.0,24.21,0,1,7.609999999999999,87.0,3,6,18
19495,35.0,4.9,23760.0,3.0,1,1,1,1.0,11.95,0,0,-0.5500000000000007,41.0,7,2,2
17729,35.0,6.8,82999.0,2.0,1,1,1,1.0,16.19,0,1,3.690000000000001,42.0,11,3,24
14784,49.0,5.64,63753.0,3.0,1,0,1,1.0,12.16,0,0,-0.3399999999999998,46.4,5,2,25
14208,49.0,10.0,40545.0,3.0,1,1,1,1.0,11.82,0,0,-0.6799999999999997,84.6,5,5,29
20069,35.0,12.1,151173.0,2.0,1,1,1,1.0,18.06,0,1,5.559999999999999,67.0,12,4,6
23162,278.0,33.0,87361.0,3.0,1,1,1,1.0,20.4,0,0,4.299999999999997,77.0,4,5,20
10120,49.0,11.21,40470.0,3.0,1,0,1,1.0,11.47,0,0,-2.03,96.7,4,3,18
21846,132.0,4.0,92396.0,3.0,0,0,1,2.0,17.16,0,0,0.5599999999999987,4.0,6,4,25
17399,88.0,15.69,12108.0,3.0,0,0,0,2.0,13.0,0,0,2.3533633947983073,120.7,6,1,5
16863,88.0,13.83,6860.0,3.0,1,1,0,2.0,15.35,0,0,2.3533633947983073,90.1,2,0,12
19244,35.0,7.1,39333.0,2.0,1,1,1,1.0,16.9,0,1,4.399999999999999,42.0,3,1,3
12609,85.0,1.64,40940.0,2.0,1,1,1,2.0,8.2,0,0,-4.5,20.0,2,3,2
13718,85.0,3.5,55445.0,3.0,1,1,1,2.0,18.2,0,0,5.5,19.0,9,2,20
8674,49.0,7.2,157556.0,3.0,0,0,1,1.0,11.55,0,0,-1.9499999999999995,44.9,5,5,26
8262,49.0,7.16,136403.0,3.0,1,1,1,1.0,11.4,1,0,-2.1,62.8,6,4,23
22014,132.0,21.0,32631.0,3.0,1,0,1,2.0,17.5,0,0,0.8999999999999986,120.0,1,4,19
17629,35.0,7.1,67087.0,2.0,1,1,1,1.0,16.14,0,1,3.640000000000001,44.0,4,4,8
9933,49.0,5.14,117356.0,3.0,1,1,1,1.0,11.43,0,0,-2.0700000000000003,66.7,9,0,12
19079,35.0,6.8,155973.0,2.0,1,1,1,1.0,15.81,0,1,3.3100000000000005,43.0,2,0,24
9312,49.0,7.63,148478.0,2.0,1,0,1,1.0,15.51,0,0,2.01,49.2,12,2,13
20540,35.0,5.0,113166.0,3.0,1,1,1,1.0,12.2,0,0,-0.3000000000000007,41.0,4,1,17
22606,278.0,12.34,130639.0,3.0,1,1,1,1.0,21.27,0,0,5.169999999999998,123.0,6,2,2
18524,35.0,7.8,64584.0,2.0,1,1,1,3.0,15.29,0,1,2.789999999999999,51.0,2,0,29
12110,85.0,38.5,58707.0,2.0,0,1,0,2.0,14.7,0,0,2.0,262.0,11,6,5
2650,278.0,31.08,132156.0,3.0,0,1,0,1.0,22.27,0,0,6.169999999999998,302.0,7,3,8
23321,278.0,25.0,31010.0,3.0,1,0,1,1.0,20.0,0,0,3.899999999999999,140.0,5,6,7
8293,49.0,7.71,36580.0,2.0,1,0,1,1.0,14.68,0,1,1.1799999999999995,48.3,1,3,24
13859,49.0,6.9,30434.0,3.0,1,0,1,1.0,13.8,0,1,1.3000000000000007,50.0,11,3,12
